Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
ANGGARAN KOS PERKHIDMATAN PERUNDING (UKUR TANAH),,,,,,,,,,
,,,,,,,,,,
STAGE 1,,,,,PENINSULAR MALAYSIA,,SABAH/SARAWAK,,DESCRIPTION,
ITEM,DESCRIPTION OF WORKS,REFERENCE,QTY,UNIT,RATE,AMOUNT,RATE,AMOUNT,,
NO.,,TREASURY RATE,,,(RM),(RM),(RM),(RM),,
1,SITE SURVEY,,,,,,,,,
,ii. Depth of water greater than 1m,3.10.2,,km,5944,0,7728,0,"- RM743.00@RM966.00 x 8 PD/km
- Lebar koridor x sela (panjang / 10m (seperti dalam TOR JKR))
- BRJambatan akan assume depth >1m",
,a. Mobilization and Demobilization of boat,3.10.2.1,,nos,600,0,600,0," - Keperluan bagi setiap projek adalah 1 no
",
,b. Boat rental ,3.10.2.2,,day,300,0,300,0,"- Anggapan jurukur biasanya 30km/day/river (lapang dan tiada halangan di dalam sungai)
- Bergantung juga pada cuaca dan keadaan sungai",
,c. Work rate (10m interval),3.10.2.3,,km,5944,0,7728,0,- Workrate adalah 8PD / km of cross sectioning with spot level taken at 10metres intervals.,
,TRANSFORMATION FOR COORDINATES,3.13,,,,,,,#NAME?,
,a) Transformation of Coordinates,1.13,,nos,20,0,20,0,,
,TOTAL OF ITEM 2,,,,,0,,0,,
,,,,,,,,,,
3,ROAD AND RAILWAY SURVEY,,,,,,,,,
,PREPARATORY WORK,4.1,,PD,743,0,966,0,"- Persediaan masuk ke tapak (bilangan team, resouces, peralatan, method / kaedah kerja dll yang berkaitan)",
,MOBILIZATION & DEMOBILIZATION,4.2,,,,,,,"- Jarak pejabat Juruukur ke tapak
- Telah mengambilkira kos peralatan, kenderaan dan tenaga kerja
- Pertambahan PD bagi jarak yang sama tetapi bergantung kepada kompleksiti kerja, keluasan corridor, dan tempoh masa kerja yang singkat 
- Contoh : Lokasi 200km dari pejabat Juruukur, melibatkan kerja ukur di dalam hutan simpan, sepanjang 10km dalam tempoh 1 bulan perlukan 2 team atau lebih. Kiraan = 2 team * 2 PD = 4 PD",
,a. More than 50km but not exceeding 150km,1.3,,PD,743,0,966,0,,
,b. More than 150km but not exceeding 300km,1.3,,PD,1486,0,1932,0,,
,c. Exceeding 300km,1.3,,PD,2229,0,2898,0,,
